run,grain,bicorr,percentile_to_human,n_event_models,active_event_models,epoch,n_boundaries,sem_params,tag,mean_pe,std_pe,pearson_r,is_train,switch_old,switch_new,switch_current,entropy,purity,coverage,n_triggers,n_timesteps,distance_to_null,pe_unc_corr,t_stat_biserial,mi,n_boundaries_adjusted,t_stat_biserial_adjusted,bicorr_adjusted,bicorr_random_adjusted
1.2.3_kinect,coarse,0.23638597589658197,0.0,3,2,1,4,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,0.6467290280413848,0.23516907656271024,0.09723142235214233,True,1,3,0,0.49710539216173555,0.45997628687102377,0.9578920936874141,6.0,1734,0.14013803707490863,0.4102718238222008,1.143046866190693,0.44497480735796263,3,0.9071091549946274,0.21955154565817303,0.21955154565817303
1.2.3_kinect,fine,0.4493973174635935,10.526315789473685,3,2,1,4,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,0.6467290280413848,0.23516907656271024,0.1447000217945636,True,1,3,0,0.49710539216173555,0.45997628687102377,0.9578920936874141,6.0,1734,0.3531493786419202,0.4102718238222008,3.2912259260548056,0.44497480735796263,3,2.545336333552081,0.39926622646403176,0.39926622646403176
2.4.1_kinect,coarse,nan,nan,3,2,1,0,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,1.4370640410226585,0.20652210697989956,nan,False,0,0,0,nan,0.3443951871657754,0.9906956302091094,40.0,1871,nan,0.5002699650357831,nan,-1.9808371997886388e-16,0,nan,nan,nan
2.4.1_kinect,fine,nan,nan,3,2,1,0,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,1.4370640410226585,0.20652210697989956,nan,False,0,0,0,nan,0.3443951871657754,0.9906956302091094,40.0,1871,nan,0.5002699650357831,nan,-1.9808371997886388e-16,0,nan,nan,nan
1.2.3_kinect,coarse,0.26629479575412796,3.7037037037037037,3,2,2,1,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,0.4587463084206816,0.2096965701022394,0.10577368941526388,True,1,0,0,0.5046711192053638,0.45530513856812943,0.9971371609397783,9.0,1734,0.24592044378461508,0.394467228233562,0.9440938834206285,0.4993244267262743,1,0.9440938834206285,0.26629479575412796,0.26629479575412796
1.2.3_kinect,fine,0.3007888805003632,5.2631578947368425,3,2,2,1,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,0.4587463084206816,0.2096965701022394,0.05017279475927162,True,1,0,0,0.5046711192053638,0.45530513856812943,0.9971371609397783,9.0,1734,0.2804145285308503,0.394467228233562,1.1470359027681283,0.4993244267262743,1,1.1470359027681283,0.3007888805003632,0.3007888805003632
1.2.3_kinect,coarse,0.5187433869043454,33.333333333333336,3,2,3,1,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,0.45688826593830695,0.18182096493395633,0.20650224392816097,True,1,0,0,0.49958963583074356,0.36088163972286386,0.9999872937503402,42.0,1734,0.49836903493483253,0.25449627466169733,2.429346420090648,0.43991824246734446,1,2.429346420090648,0.5187433869043454,0.5187433869043454
1.2.3_kinect,fine,0.39528983656249944,10.526315789473685,3,2,3,1,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,0.45688826593830695,0.18182096493395633,0.12691400803210912,True,1,0,0,0.49958963583074356,0.36088163972286386,0.9999872937503402,42.0,1734,0.37491548459298657,0.25449627466169733,1.7030215157974011,0.43991824246734446,1,1.7030215157974011,0.39528983656249944,0.39528983656249944
1.2.3_kinect,coarse,0.3532024179004525,11.11111111111111,4,2,4,4,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,0.44511644282479496,0.18056841930902104,0.2566279160251105,True,3,1,0,0.5564506638303555,0.466184104046243,0.9850904261434114,29.0,1734,0.2569544790787791,0.2350999539548667,2.3211185722064065,0.4831351907130999,4,2.3211185722064065,0.3532024179004525,0.3532024179004525
1.2.3_kinect,fine,0.44463353166946834,10.526315789473685,4,2,4,4,"{'lmda': 1.0, 'alfa': 0.01, 'kappa': 1.0, 'f_opts': {'var_df0': 10.0, 'var_scale0': 0.06, 'l2_regularization': 0.0, 'dropout': 0.5, 'n_epochs': 1, 't': 4, 'batch_update': True, 'n_hidden': 15, 'variance_window': None, 'optimizer_kwargs': {'learning_rate': 0.001, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'amsgrad': False}}, 'f_class': <class 'sem.event_models.GRUEvent'>, 'threshold': 0.003, 'trigger': 'uncertainty', 'equal_sigma': '0'}",dec_17_uncertainty,0.44511644282479496,0.18056841930902104,0.21420744101780798,True,3,1,0,0.5564506638303555,0.466184104046243,0.9850904261434114,29.0,1734,0.348385592847795,0.2350999539548667,3.243184048033966,0.4831351907130999,4,3.243184048033966,0.44463353166946834,0.44463353166946834
